threshold,precision,recall,f1,f2,false_alarm_rate,threats_detected,threats_missed,benign_false_alarms
0.74,0.9651871192341166,0.5552634872950307,0.7049662296384585,0.6068067410811994,0.00996713958667518,17744,14212,640
0.75,0.9682548476454294,0.5469082488421579,0.6989961204655442,0.5990443807669633,0.008923704661195122,17477,14479,573
0.76,0.9704786633551592,0.5380210289147578,0.6922612336930263,0.590662360862993,0.008145021880986123,17193,14763,523
0.77,0.9730087476979742,0.5290712229315309,0.6854374442552501,0.5821969696969697,0.007304044478360406,16907,15049,469
0.78,0.9752753691117881,0.5209037426461385,0.6790959530026109,0.5744278497087486,0.006572082664963947,16646,15310,422
0.79,0.9767830498358699,0.5121416948303917,0.671963211594917,0.5659881448896451,0.006058152030026008,16366,15590,389
0.8,0.9789780667112218,0.5042245587683064,0.6656201590416193,0.5583817913406292,0.005388484839046269,16113,15843,346
0.81,0.9813107246735565,0.49621354362248093,0.6591291696975995,0.5506552856934499,0.00470324399246235,15857,16099,302
0.82,0.9837172609656043,0.48776442608586806,0.6521620886592331,0.5424621873890679,0.004018003145878432,15587,16369,258
0.83,0.985006435006435,0.47900237827012143,0.6445595418561563,0.5338508970173823,0.0036286617557739326,15307,16649,233
0.84,0.9863139886827215,0.4690824884215797,0.6357891165118548,0.5240452517794465,0.0032393203656694335,14990,16966,208
0.85,0.9871820683175626,0.46032044060583305,0.6278677678895362,0.5153266771763881,0.002974568220398374,14710,17246,191
0.86,0.9887071384573267,0.45205908123670047,0.6204393669336655,0.5071085056341489,0.002569653174689695,14446,17510,165
0.87,0.9903543719857413,0.443390912504694,0.6125413397315349,0.49844861430652004,0.002149164473376836,14169,17787,138
0.88,0.991505460775216,0.4346601577168607,0.6043728924181443,0.48966037523002404,0.0018532650168974164,13890,18066,119
0.89,0.9925552879351872,0.42555388659406684,0.5957027399960576,0.4804451510333863,0.0015885128716263569,13599,18357,102
0.9,0.9932685115931189,0.41557141068969833,0.5859771433614261,0.47027494086150967,0.0014016290043761973,13280,18676,90
