threshold,precision,recall,f1,f2,false_alarm_rate,threats_detected,threats_missed,benign_false_alarms,benign_correct
0.49,0.8589809010059776,0.7374827888346477,0.7936085668103449,0.7589527244621924,0.0602544735325723,23567,8389,3869,60342
0.5,0.8648708733187594,0.7304418575541369,0.7919925354143693,0.7538772583697751,0.056797121988444346,23342,8614,3647,60564
0.51,0.8706613906161673,0.722962823882839,0.7899676873365133,0.7483528657221153,0.05344878603354566,23103,8853,3432,60779
0.52,0.8772373615422943,0.716234822881462,0.788602339483522,0.7435272715459832,0.04988241890018844,22888,9068,3203,61008
0.53,0.8821172993154948,0.7097571661033921,0.7866060900326004,0.7386215610671113,0.047203750136269484,22681,9275,3031,61180
0.54,0.8865617481165937,0.7033733884090625,0.7844143153780384,0.7336937007514183,0.04478983351762159,22477,9479,2876,61335
0.55,0.8922355017245528,0.6961759919889848,0.7821058182457374,0.7281779023029891,0.041846412608431575,22247,9709,2687,61524
0.56,0.8970133463541666,0.689854800350482,0.7799122620816529,0.723261154855643,0.039416922334179504,22045,9911,2531,61680
0.57,0.9018318653599636,0.682469645762924,0.7769643207039669,0.7173682790924102,0.036971858404323245,21809,10147,2374,61837
0.58,0.9066492938802959,0.6750219051195394,0.7738752959747435,0.7113695124525116,0.03458908909688371,21571,10385,2221,61990
0.59,0.9109139005034559,0.6681061459506822,0.7708416073943026,0.7057291322341368,0.03251779290152777,21350,10606,2088,62123
0.6,0.9150918862690708,0.660689698335211,0.7673548011921204,0.6995877955678083,0.03050879132858856,21113,10843,1959,62252
0.61,0.9190520160049246,0.6540868694454876,0.7642552880308598,0.6941095990489284,0.028671099967295322,20902,11054,1841,62370
0.62,0.9236030397854269,0.6465452497183628,0.760630269116077,0.687810431841485,0.026615377427543566,20661,11295,1709,62502
0.63,0.9274585509879627,0.6389410439354112,0.7566285597821052,0.6813312955906006,0.02487112799987541,20418,11538,1597,62614
0.64,0.9310774053755013,0.6319939917386407,0.7529218782038138,0.6753837407617965,0.023282615128249053,20196,11760,1495,62716
0.65,0.9350436169214895,0.623889097509075,0.7484139795037351,0.6683719308596945,0.021569513011789256,19937,12019,1385,62826
0.66,0.9388650453028136,0.6160971335586432,0.7439821637758379,0.6615858166323911,0.01996542648455872,19688,12268,1282,62929
0.67,0.9423459244532804,0.6081487044686444,0.7392304912607696,0.654577054436937,0.018517076513369982,19434,12522,1189,63022
0.68,0.9459352801894239,0.6000751032669921,0.7343187562227158,0.6474178910976663,0.017068726542181247,19176,12780,1096,63115
0.69,0.9495233316608128,0.5921892602328201,0.7294453224376518,0.640388754280764,0.01566709753780505,18924,13032,1006,63205
0.7,0.9531760620915033,0.5841469520590812,0.7243694218083042,0.6331745902529035,0.014281042189033031,18667,13289,917,63294
0.71,0.9563885571881003,0.5764488671923895,0.7193314719721967,0.6262025359486012,0.013081870707511174,18421,13535,840,63371
0.72,0.9593530313441514,0.5679684566278633,0.7135135135135136,0.6184281362654437,0.011976141159614396,18150,13806,769,63442
0.73,0.9628832705755783,0.560145199649518,0.7082657381395164,0.6112803420437937,0.010745822366884178,17900,14056,690,63521
0.74,0.9651722252597048,0.552415821754913,0.7026628985391872,0.6040831131855948,0.00992041861986264,17653,14303,637,63574
0.75,0.9677150013915947,0.5440292902741269,0.6965004707437752,0.5962383993305393,0.009032720250424382,17385,14571,580,63631
0.76,0.9706648544569034,0.5363624984353486,0.690934010561535,0.5890763118461391,0.008067153602965223,17140,14816,518,63693
0.77,0.9724237190558435,0.5285705344849168,0.6848720755788023,0.5816700414617684,0.0074597810344022054,16891,15065,479,63732
0.78,0.9746264283621447,0.5204656402553511,0.6785663287162644,0.5739566150639455,0.006743392876609927,16632,15324,433,63778
0.79,0.9771206690561529,0.5118600575791714,0.6718005585674388,0.5657355911568579,0.005964710096400928,16357,15599,383,63828
0.8,0.9793519308076502,0.5031605958192514,0.6647786000744201,0.5573619334174512,0.005279469249817009,16079,15877,339,63872
0.81,0.9812399055783327,0.49430466891976466,0.657427061222791,0.5487694723530802,0.00470324399246235,15796,16160,302,63909
0.82,0.9831098178137652,0.48632494680185256,0.6507411439577925,0.5410006126768409,0.004158166046316052,15541,16415,267,63944
0.83,0.9846074579764281,0.4784078107397672,0.6439357243645094,0.5332366010701006,0.0037221036893990127,15288,16668,239,63972
0.84,0.9859349326322708,0.4694267117286269,0.6360263721354222,0.5243674801977083,0.0033327622992945136,15001,16955,214,63997
0.85,0.9870539307754226,0.4604769057453999,0.6279873677022875,0.5154765574643387,0.003005715531606734,14715,17241,193,64018
0.86,0.9884797366796956,0.45108899737138564,0.6194804357635532,0.5061197834376119,0.0026163741415022347,14415,17541,168,64043
0.87,0.9903266507780737,0.44210789836024533,0.6113106313011121,0.49714969385600677,0.002149164473376836,14128,17828,138,64073
0.88,0.9915254237288136,0.4320315433721367,0.6018308631211857,0.4869909981093208,0.0018376913612932365,13806,18150,118,64093
0.89,0.9922190413271673,0.4229878583051696,0.5931240264156739,0.4778114770903589,0.0016508074940430766,13517,18439,106,64105
0.9,0.9932401982875169,0.413819001126549,0.5842279655400928,0.4684776601623942,0.0014016290043761973,13224,18732,90,64121
